"","zone","zmax","x","y","dead","mort_year","tmax","ppt","pptn","tmaxn","aws","elevation","slope","aspect","cover","vpdmax"
"1333813",1024780,13.5,316519.7,4096249,0,"Live",14.82655,937.8588,944.0081,13.10225,6.69,2156.533,5.708048,263.4636,0.2165,16.35406
"1516238",1207205,52.6,318805.6,4094405,0,"Live",14.82655,937.8588,907.6024,12.27241,6.69,2369.898,11.75179,93.82462,0.5811,16.35406
"404748",95714,15.82007,321243.5,4098974,0,"Live",13.61266,923.6433,938.699,12.86,10.65,2332.79,24.23014,232.6338,0.67,14.89409
"1759643",1450610,19.6,320992.1,4096433,0,"Live",15.68133,933.1343,938.699,13.61788,9.01,2133.517,8.142712,108.1784,0.3613,17.55774
"1540099",1231066,25.1,318245.4,4097244,0,"Live",14.82655,937.8588,944.0081,13.33731,4.18,2195.697,17.26447,232.8671,0.4364,16.35406
"1783311",1474278,22.2,320760.1,4098151,1,"2016",15.68133,933.1343,938.699,13.43902,10.65,2180.183,4.029861,225.2714,0.6442,17.55774
"496178",187144,20.31006,322481.8,4090042,1,"2016",17.00902,850.2277,858.5765,16.03887,3.56,1670.193,34.86704,256.6469,0.5388,19.28292
"1255217",946184,25.7,328251.4,4097545,0,"Live",12.45381,905.5087,904.7143,11.7492,8.16,2501.008,3.187085,172.1318,0.5531,13.5257
"1775593",1466560,39.7,320579.7,4098999,0,"Live",13.61266,923.6433,938.699,13.09387,10.65,2230.432,6.397208,168.2922,0.3562,14.89409
"399328",90294,13.84009,321169.2,4097428,1,"2016",15.68133,933.1343,938.699,13.62347,9.01,2138.049,5.457004,251.2123,0.4291,17.55774
"1727119",1418086,10.4,320887.3,4092203,0,"Live",17.00902,850.2277,858.5765,15.13526,16.5,1989.748,34.14076,53.60725,0.2192,19.28292
"1438445",1129412,16.5,317413.9,4098439,0,"Live",14.82655,937.8588,944.0081,13.39371,4.18,2178.717,14.31409,298.7478,0.1384,16.35406
"688696",379662,32.40002,323961.4,4096155,0,"Live",15.33717,901.0924,901.6485,15.34056,1.96,1883.646,17.53753,246.6734,0.1771,17.56576
"677284",368250,35.82007,323231.8,4093369,1,"2016",17.00902,850.2277,858.5765,15.68141,1.96,1826.389,38.37666,338.7637,0.1865,19.28292
"1252924",943891,28.4,316399.1,4091066,0,"Live",15.15505,884.043,849.9575,13.38807,6.71,2240.523,9.028878,300.0802,0.2769,15.94104
"1663759",1354726,16.4,319945.8,4098030,1,"2016",15.68133,933.1343,944.0081,13.36541,10.65,2182.19,3.889307,135.5386,0.4581,17.55774
"24610",24610,32,296305.8,4102206,0,"Live",19.97881,768.4939,777.9512,18.74974,23.15,1390.163,10.05315,168.4255,0.6996,24.33751
"1354258",1045225,17.6,316484.1,4099670,1,"2016",13.99849,922.5205,921.6675,13.3777,6.71,2145.42,5.469209,212.2343,0.4022,15.39049
"948412",639378,17.6,315468.8,4098682,1,"2016",15.9467,878.2209,886.5621,13.71483,6.71,2104.315,4.725368,130.7049,0.3275,17.60162
"792735",483701,28.64001,324147.6,4093725,1,"2016",15.09834,871.5558,874.3379,14.73571,1.96,1945.305,7.486915,266.7444,0.4732,16.89864
"301051",301051,28,301139.4,4102755,0,"Live",19.06112,792.6165,747.2855,19.85301,19.41,1179.757,20.12498,324.8349,0.5942,22.16811
"533060",224026,44.12,322424.6,4096218,1,"2016",15.68133,933.1343,938.699,14.54672,1.96,2042.236,18.63306,88.16695,0.593,17.55774
"1770477",1461444,35.3,320638.5,4097505,0,"Live",15.68133,933.1343,938.699,13.5108,9.01,2156.575,8.55831,140.6873,0.4378,17.55774
"301450",301450,14,301552.8,4102692,0,"Live",19.06112,792.6165,747.2855,19.35527,19.41,1245.452,33.03165,159.6304,0.6569,22.16811
"1046552",737518,20,326037,4098631,0,"Live",15.33717,901.0924,901.6485,14.14921,NA,2067.801,7.086687,177.6435,0.1225,17.56576
"1145582",836549,26.8,327842.6,4095885,0,"Live",12.45381,905.5087,904.7143,10.22622,3.16,2772.881,9.058419,273.6897,0.5137,13.5257
"817040",508006,19.8,324594,4099993,1,"2016",14.93835,865.7621,865.402,14.00018,1.96,2118.026,27.76495,115.7736,0.425,17.25337
"39471",39471,42,296475.8,4102100,0,"Live",19.97881,768.4939,777.9512,19.05187,23.15,1362.98,5.744214,232.874,0.8077,24.33751
"906534",597500,10.2,325703.4,4093751,0,"Live",15.09834,871.5558,874.3379,13.32004,10.65,2315.826,7.063677,214.8592,0.2501,16.89864
